year,indicator_code,indicator_name,value
2008,SP.RUR.TOTL,Rural Population,109307449.0
2008,SP.URB.TOTL,Urban Population,40166815.0
2009,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),672.110602481967
2009,NY.GDP.PCAP.CD,GDP per Capita (current US$),679.211477428056
2009,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),4.07076421640669
2009,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),48.327755652912
2009,SL.EMP.SELF.ZS,Self-employed (% of total employment),62.8552450353619
2009,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),55.528
2009,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),62.6404448858856
2009,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),37.1447604274181
2009,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),19.3863335157538
2009,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),32.2859108313342
2009,SL.TLF.TOTL.IN,"Labor Force, Total",57807404.0
2009,SL.UEM.TOTL.ZS,Unemployment Rate (%),5.0
2009,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),34.4480871598349
2009,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),61.4616088790656
2009,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),4.09030396109955
2009,SP.POP.GROW,Population Growth (annual %),0.931892491457971
2009,SP.POP.TOTL,Total Population,150873714.0
2009,SP.RUR.TOTL,Rural Population,109668406.0
2009,SP.URB.TOTL,Urban Population,41205308.0
2010,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),749.617087690298
2010,NY.GDP.PCAP.CD,GDP per Capita (current US$),757.385280361508
2010,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),4.65046297355514
2010,SI.POV.GINI,GINI Index (World Bank estimate),32.1
2010,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),47.5925482341612
2010,SL.EMP.SELF.ZS,Self-employed (% of total employment),62.3377918192947
2010,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),56.597
2010,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),62.1114634809614
2010,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),37.6622117012158
2010,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),19.6659443987482
2010,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),32.7415073670905
2010,SL.TLF.TOTL.IN,"Labor Force, Total",58796583.0
2010,SL.UEM.TOTL.ZS,Unemployment Rate (%),3.379
2010,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),34.0504147772873
2010,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),61.7403305619908
2010,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),4.20925466072201
2010,SP.POP.GROW,Population Growth (annual %),0.876530534249878
2010,SP.POP.TOTL,Total Population,152201981.0
2010,SP.RUR.TOTL,Rural Population,110003316.0
2010,SP.URB.TOTL,Urban Population,42198665.0
2011,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),826.613898000825
