Year,Value,Indicator,Indicator_Code,Country
YR2008,89.3102357892837,Merchandise exports to high income economies (% of total),TX.VAL.MRCH.HI.ZS,Bangladesh
YR2008,15370000000.0,Total Merchandise Exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh
YR2008,11723751210.0,Total Merchandise Exports (current US$) - Alternative,TX.VAL.MRCH.WL.CD,Bangladesh
YR2008,10.6834999804905,Transport services (% of service exports),TX.VAL.TRAN.ZS.WT,Bangladesh
YR2009,1.54240916058004,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Bangladesh
YR2009,22413682175.8445,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Bangladesh
YR2009,17359427992.7925,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh
YR2009,3.694887123026,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Bangladesh
YR2009,1.72665865195063,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Bangladesh
YR2009,0.306260590781621,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Bangladesh
YR2009,44173505.0,High-technology exports (current US$),TX.VAL.TECH.CD,Bangladesh
YR2009,0.331266388916683,Machinery and transport equipment exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Bangladesh
YR2009,92.704172111994,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Bangladesh
YR2009,2.06148758697285,Merchandise exports to developing economies in East Asia & Pacific (% of total),TX.VAL.MRCH.R1.ZS,Bangladesh
YR2009,2.90333370658664,Merchandise exports to developing economies in Europe & Central Asia (% of total),TX.VAL.MRCH.R2.ZS,Bangladesh
YR2009,0.95586059544831,Merchandise exports to developing economies in Latin America & the Caribbean (% of total),TX.VAL.MRCH.R3.ZS,Bangladesh
YR2009,0.783170835623036,Merchandise exports to developing economies in Middle East & North Africa (% of total),TX.VAL.MRCH.R4.ZS,Bangladesh
YR2009,3.00290064276283,Merchandise exports to developing economies in South Asia (% of total),TX.VAL.MRCH.R5.ZS,Bangladesh
YR2009,0.649138862846111,Merchandise exports to developing economies in Sub-Saharan Africa (% of total),TX.VAL.MRCH.R6.ZS,Bangladesh
YR2009,1.7143936291448,Merchandise exports to economies in the Arab World (% of total),TX.VAL.MRCH.AL.ZS,Bangladesh
YR2009,89.6441077697602,Merchandise exports to high income economies (% of total),TX.VAL.MRCH.HI.ZS,Bangladesh
YR2009,15083000000.0,Total Merchandise Exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh
YR2009,12393272781.0,Total Merchandise Exports (current US$) - Alternative,TX.VAL.MRCH.WL.CD,Bangladesh
YR2009,15.1702155886538,Transport services (% of service exports),TX.VAL.TRAN.ZS.WT,Bangladesh
YR2010,1.94860335841044,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Bangladesh
YR2010,22624714205.8624,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Bangladesh
YR2010,18471882436.8538,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh
YR2010,4.0297492269178,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Bangladesh
YR2010,1.87340450699641,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Bangladesh
YR2010,0.213025597821188,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Bangladesh
YR2010,37560962.0,High-technology exports (current US$),TX.VAL.TECH.CD,Bangladesh
YR2010,0.461533261380147,Machinery and transport equipment exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Bangladesh
YR2010,91.686087379598,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Bangladesh
YR2010,2.848210331639,Merchandise exports to developing economies in East Asia & Pacific (% of total),TX.VAL.MRCH.R1.ZS,Bangladesh
YR2010,3.74953093014684,Merchandise exports to developing economies in Europe & Central Asia (% of total),TX.VAL.MRCH.R2.ZS,Bangladesh
YR2010,0.848023551502688,Merchandise exports to developing economies in Latin America & the Caribbean (% of total),TX.VAL.MRCH.R3.ZS,Bangladesh
YR2010,1.29185020769049,Merchandise exports to developing economies in Middle East & North Africa (% of total),TX.VAL.MRCH.R4.ZS,Bangladesh
YR2010,2.99737980093544,Merchandise exports to developing economies in South Asia (% of total),TX.VAL.MRCH.R5.ZS,Bangladesh
YR2010,0.733206658538634,Merchandise exports to developing economies in Sub-Saharan Africa (% of total),TX.VAL.MRCH.R6.ZS,Bangladesh
YR2010,2.0358984720236,Merchandise exports to economies in the Arab World (% of total),TX.VAL.MRCH.AL.ZS,Bangladesh
YR2010,87.5317985195469,Merchandise exports to high income economies (% of total),TX.VAL.MRCH.HI.ZS,Bangladesh
YR2010,19194000000.0,Total Merchandise Exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh
YR2010,14081069068.0,Total Merchandise Exports (current US$) - Alternative,TX.VAL.MRCH.WL.CD,Bangladesh
YR2010,14.2174155607561,Transport services (% of service exports),TX.VAL.TRAN.ZS.WT,Bangladesh
YR2011,1.7535465732422,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Bangladesh
YR2011,29262607331.5145,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Bangladesh
YR2011,25621279024.2428,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh
YR2011,3.85995629311679,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Bangladesh
YR2011,1.15197562004724,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Bangladesh
YR2011,0.19506469565516,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Bangladesh
YR2011,44006131.0,High-technology exports (current US$),TX.VAL.TECH.CD,Bangladesh
YR2011,0.448393262306309,Machinery and transport equipment exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Bangladesh
YR2011,92.7860461578024,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Bangladesh
YR2011,2.50420573654337,Merchandise exports to developing economies in East Asia & Pacific (% of total),TX.VAL.MRCH.R1.ZS,Bangladesh
YR2011,3.2523556315212,Merchandise exports to developing economies in Europe & Central Asia (% of total),TX.VAL.MRCH.R2.ZS,Bangladesh
YR2011,1.17290746983943,Merchandise exports to developing economies in Latin America & the Caribbean (% of total),TX.VAL.MRCH.R3.ZS,Bangladesh
YR2011,0.931008830366074,Merchandise exports to developing economies in Middle East & North Africa (% of total),TX.VAL.MRCH.R4.ZS,Bangladesh
YR2011,3.2820852766941,Merchandise exports to developing economies in South Asia (% of total),TX.VAL.MRCH.R5.ZS,Bangladesh
YR2011,0.6667667957365,Merchandise exports to developing economies in Sub-Saharan Africa (% of total),TX.VAL.MRCH.R6.ZS,Bangladesh
YR2011,1.83070105847182,Merchandise exports to economies in the Arab World (% of total),TX.VAL.MRCH.AL.ZS,Bangladesh
YR2011,88.1906702592993,Merchandise exports to high income economies (% of total),TX.VAL.MRCH.HI.ZS,Bangladesh
YR2011,24439000000.0,Total Merchandise Exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh
YR2011,19741113511.0,Total Merchandise Exports (current US$) - Alternative,TX.VAL.MRCH.WL.CD,Bangladesh
YR2011,19.455310915958,Transport services (% of service exports),TX.VAL.TRAN.ZS.WT,Bangladesh
YR2012,1.39329759278668,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Bangladesh
YR2012,32929872980.3364,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Bangladesh
