year,indicator_code,indicator_name,value
2018,GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)",8.70480535725308
2018,GC.XPN.TOTL.GD.ZS,Expense (% of GDP),7.4941450180451
2018,NE.EXP.GNFS.CD,Exports of goods and services (current US$),40732047404.0872
2018,NE.IMP.GNFS.CD,Imports of goods and services (current US$),63757868050.7515
2018,NY.GDP.MKTP.CD,GDP (current US$),321362752441.78
2018,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.31941263014136
2018,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",83.4662019166666
2019,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",-2948537074.51493
2019,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",32696936140.2925
2019,GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)",8.85578039462247
2019,GC.XPN.TOTL.GD.ZS,Expense (% of GDP),8.27231587687115
2019,NE.EXP.GNFS.CD,Exports of goods and services (current US$),45992932855.1263
2019,NE.IMP.GNFS.CD,Imports of goods and services (current US$),64919190426.113
2019,NY.GDP.MKTP.CD,GDP (current US$),351231654603.692
2019,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.88191515117722
2019,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",84.4535225
2020,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",1192771686.32568
2020,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",43171735335.8
2020,GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)",8.64089809540505
2020,GC.XPN.TOTL.GD.ZS,Expense (% of GDP),8.14832024557625
2020,NE.EXP.GNFS.CD,Exports of goods and services (current US$),39053880559.8514
2020,NE.IMP.GNFS.CD,Imports of goods and services (current US$),59195931838.1946
2020,NY.GDP.MKTP.CD,GDP (current US$),373979442362.193
2020,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.44801755122445
2020,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",84.8713916666666
2021,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",-15775415833.0742
2021,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",46165532457.1555
2021,GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)",9.53881335234034
2021,GC.XPN.TOTL.GD.ZS,Expense (% of GDP),8.3242513417429
2021,NE.EXP.GNFS.CD,Exports of goods and services (current US$),44386125441.8587
2021,NE.IMP.GNFS.CD,Imports of goods and services (current US$),71021045805.0068
2021,NY.GDP.MKTP.CD,GDP (current US$),416271647911.014
2021,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),6.93867912442445
2021,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",85.08376325
2022,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",-17531514896.3582
2022,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",33747202271.7021
2022,NE.EXP.GNFS.CD,Exports of goods and services (current US$),59275206086.406
2022,NE.IMP.GNFS.CD,Imports of goods and services (current US$),96157127887.3964
2022,NY.GDP.MKTP.CD,GDP (current US$),460131689083.083
2022,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.09982877575158
2022,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",91.7454544396961
2023,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",-7199979887.6317
2023,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",21859709190.8892
2023,NE.EXP.GNFS.CD,Exports of goods and services (current US$),57551452000.7801
2023,NE.IMP.GNFS.CD,Imports of goods and services (current US$),77972815573.2438
2023,NY.GDP.MKTP.CD,GDP (current US$),437415333018.291
2023,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),5.77511237007889
2023,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",106.309484297483
2024,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",-3013399293.76544
2024,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",21394795733.0405
2024,NE.EXP.GNFS.CD,Exports of goods and services (current US$),47087839244.3229
2024,NE.IMP.GNFS.CD,Imports of goods and services (current US$),73445483483.8237
2024,NY.GDP.MKTP.CD,GDP (current US$),450119432068.852
2024,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.22325911250161
2024,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",115.603653796648
